lead_time,no_of_special_requests,avg_price_per_room,arrival_month,Unnamed: 0,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,booking_status
263,0,110.0,10,29728,21,3,2,0,0,0
140,0,70.0,12,11389,29,3,5,0,0,1
131,0,94.5,8,24095,15,3,1,2,1,1
6,0,137.0,3,19617,3,4,3,0,0,0
219,1,145.1,9,11836,13,4,2,0,0,0
19,0,75.0,7,30814,18,3,1,1,3,1
16,4,142.0,10,11242,1,4,2,0,0,1
57,0,75.0,9,20747,16,3,2,0,0,1
7,1,152.0,9,28486,14,4,2,1,0,1
18,1,65.0,10,6253,18,2,1,0,0,1
31,1,64.67,11,14018,14,4,5,2,0,1
6,0,85.0,8,14065,28,3,1,2,0,1
148,0,67.0,12,579,30,3,4,1,0,1
63,3,118.33,11,15961,10,4,3,0,3,1
178,0,94.62,8,28109,23,4,3,0,0,0
151,0,71.0,1,9303,19,3,4,0,0,1
93,2,72.25,12,30212,3,4,3,1,0,1
102,2,86.4,12,21161,6,4,2,0,0,0
167,1,72.25,8,28889,4,3,3,2,0,1
57,1,103.8,10,15931,30,4,1,2,0,1
181,2,76.5,8,11198,6,4,2,0,0,0
245,0,107.59,9,9724,22,4,5,2,0,0
49,0,80.75,6,4335,3,3,2,0,0,1
71,0,120.0,6,18651,14,3,3,0,0,1
44,0,75.0,2,23920,17,3,3,0,0,1
2,0,63.75,6,22696,26,3,3,2,3,1
147,2,106.25,6,32956,28,4,5,2,0,1
0,0,223.0,5,15140,19,4,1,0,0,0
44,0,67.5,2,31097,12,4,2,0,3,0
116,0,59.5,3,4794,25,4,2,2,0,0
11,1,126.0,5,3525,8,4,1,2,0,1
129,1,114.3,8,31413,6,4,1,0,0,1
13,1,85.29,8,2390,27,4,5,2,0,0
186,0,80.75,9,23100,2,3,2,2,0,1
20,2,93.0,2,25990,7,4,1,2,0,1
12,0,95.0,2,30418,15,4,3,1,0,1
10,0,80.75,12,4254,5,4,1,1,0,1
102,0,59.5,11,10714,7,3,2,1,3,0
7,0,94.0,8,34189,8,2,0,1,0,1
26,3,124.0,9,30103,12,4,1,2,0,1
106,1,90.95,4,23388,17,4,2,2,0,1
320,1,115.0,8,19152,18,3,2,0,1,0
0,1,69.0,11,5221,30,4,7,3,0,1
13,0,81.0,3,17767,8,4,2,0,3,1
15,0,103.44,4,7964,27,4,3,0,0,0
270,0,80.0,4,34331,20,3,4,0,0,1
102,0,89.25,10,22996,16,4,2,1,0,1
102,0,87.0,10,21012,16,3,2,0,1,1
1,0,65.0,9,14931,30,2,1,0,0,1
78,1,95.0,9,11451,29,3,3,0,0,1
112,0,100.0,6,14638,2,3,2,0,0,1
273,0,109.0,7,35024,17,3,2,0,1,0
25,2,129.0,10,35556,17,4,2,1,0,1
72,0,79.65,10,16604,30,4,2,2,3,0
93,2,76.5,8,16711,15,4,3,2,0,0
91,0,114.3,7,29120,6,4,1,0,0,1
24,1,71.69,9,705,11,4,0,2,3,1
5,0,66.0,2,2146,28,2,0,2,0,1
6,0,88.0,12,28323,1,4,1,0,3,1
57,1,135.9,8,1066,10,4,2,0,0,1
14,0,0.0,9,3570,17,4,2,0,1,1
12,0,75.2,12,4216,14,4,1,0,0,1
5,0,73.15,11,30827,15,4,0,1,3,1
99,0,81.0,2,31915,19,2,1,0,0,1
97,1,109.81,4,27093,30,4,5,2,0,1
56,1,85.85,3,20702,28,4,5,1,0,0
60,1,123.3,9,4241,3,4,1,1,0,0
8,1,85.35,10,9038,29,4,1,2,3,1
198,1,159.3,9,35500,22,4,3,0,0,0
163,1,72.25,8,4169,21,3,6,4,1,1
19,1,117.81,9,9480,23,4,2,1,0,1
20,0,80.0,11,25578,14,3,2,1,0,1
3,0,98.8,9,616,7,3,1,1,0,1
1,0,51.5,2,15770,7,3,1,2,0,1
30,1,79.6,1,24459,31,4,0,2,0,1
118,0,110.0,6,16817,6,3,1,1,0,1
386,1,115.0,10,5382,23,4,0,2,1,0
186,2,102.6,9,5467,30,4,2,2,3,0
304,0,89.0,11,4528,3,4,3,0,0,0
2,0,55.0,3,9154,2,3,1,0,0,1
12,0,75.0,10,1972,5,3,2,1,0,1
9,3,201.0,8,24452,1,4,0,1,0,1
183,0,187.5,8,30766,16,4,5,0,1,0
79,1,37.33,7,1523,7,1,3,0,0,1
256,0,100.75,10,13910,16,4,3,2,0,0
97,1,96.3,4,28342,8,4,2,0,0,1
175,0,112.63,8,34616,31,4,4,0,0,0
69,1,57.52,10,16477,28,4,1,0,3,1
10,1,95.0,9,28654,1,3,1,0,0,1
0,0,62.8,12,16822,24,3,3,2,0,1
122,0,86.0,3,12657,27,3,1,2,1,1
11,1,95.48,3,28496,16,4,3,0,0,1
67,1,125.1,8,6496,13,4,1,0,3,1
42,1,106.8,11,36229,25,4,3,0,0,1
4,0,109.0,1,1719,2,3,1,2,1,1
4,0,59.0,1,35397,25,2,0,1,0,1
133,0,88.5,4,8374,29,4,2,1,3,0
74,0,55.24,2,33096,17,4,4,1,0,1
2,0,102.7,8,3246,2,4,1,0,0,1
135,2,94.5,5,14526,22,4,0,2,3,1
128,1,105.4,5,14555,4,3,3,0,0,1
0,0,89.0,5,8304,9,4,0,1,3,1
6,0,81.0,8,27073,23,4,0,1,3,1
38,0,85.0,12,22013,2,2,2,0,0,1
20,0,156.0,5,28522,11,4,1,0,0,0
240,2,90.95,10,5128,27,4,3,1,0,1
34,2,74.8,11,20757,14,4,5,2,0,0
79,0,75.0,11,28836,13,3,2,0,0,1
126,2,125.45,5,2798,15,4,3,2,0,1
4,1,88.0,12,26914,14,4,1,0,0,1
31,1,125.1,10,2622,4,4,1,0,0,1
2,0,75.0,9,5685,20,3,1,2,0,1
35,0,84.24,6,35698,1,4,2,0,3,0
147,1,127.93,7,25839,3,4,2,2,0,1
188,0,130.0,6,25753,15,3,2,0,0,0
176,2,137.7,8,5031,9,4,3,0,0,0
0,0,65.0,5,30190,23,2,0,1,0,1
22,2,206.0,6,14637,13,4,3,1,0,1
31,1,135.9,7,24138,27,4,2,0,0,0
73,1,149.4,9,18941,19,4,3,1,0,0
2,0,98.0,3,13655,22,4,2,0,3,1
83,0,75.0,12,880,18,3,0,2,0,1
8,0,101.0,2,32849,6,2,1,0,0,1
11,1,80.3,1,10031,20,4,2,0,0,1
192,0,94.5,8,22508,3,4,2,0,3,0
39,2,130.9,12,4168,8,4,8,2,0,1
188,0,130.0,6,4361,15,4,2,0,0,0
64,0,70.46,3,2710,10,4,13,6,3,0
39,2,96.3,10,17162,23,4,1,0,0,1
47,0,119.52,9,21634,18,4,2,2,0,1
74,0,109.0,9,1246,18,3,2,0,1,1
27,2,195.5,8,664,8,4,1,1,0,1
256,1,115.0,6,30867,15,3,2,0,1,0
304,0,89.0,11,6341,3,4,3,0,0,0
267,0,95.0,9,16178,30,3,2,1,0,0
33,1,120.6,10,18805,3,4,0,1,3,1
47,1,86.35,3,29464,11,4,2,2,0,1
54,0,117.9,7,11131,3,4,1,2,0,0
95,0,80.75,5,16744,6,3,2,1,0,1
89,1,87.3,4,19527,1,4,2,0,0,1
104,0,150.3,8,2805,24,4,4,0,0,0
156,1,106.89,8,20546,12,4,6,2,0,0
213,0,130.0,6,25836,7,3,3,0,0,0
44,1,66.29,2,15822,21,4,5,2,3,1
86,1,90.95,4,7742,25,4,3,1,0,1
78,1,108.45,4,5425,6,4,4,0,0,1
76,1,140.4,5,7651,12,4,3,0,0,1
170,1,112.2,8,8511,11,4,3,2,0,0
4,0,67.5,1,261,16,4,1,1,3,1
131,0,94.5,8,25961,15,3,1,2,1,0
19,0,115.0,3,24711,3,4,1,0,3,0
97,0,84.43,5,21981,1,4,4,2,3,0
0,1,129.0,6,853,17,4,1,0,3,1
275,0,90.0,10,15944,5,3,4,1,0,0
16,1,111.75,10,1475,1,4,3,1,0,1
146,0,95.0,4,14987,24,3,0,2,0,0
35,0,73.1,3,26238,2,4,2,0,3,0
20,0,70.42,12,12361,28,4,2,1,0,1
191,0,132.0,6,34670,3,3,2,1,0,0
36,1,68.07,12,374,10,4,6,2,0,1
105,1,114.3,7,3643,7,4,3,1,0,1
10,0,110.0,9,29879,30,0,1,0,0,0
6,1,87.27,10,21082,30,4,2,1,0,1
167,0,96.3,8,26995,26,4,2,1,0,0
138,0,142.2,8,28581,18,4,2,0,0,0
3,0,185.57,4,24048,7,4,2,0,0,1
275,0,90.0,10,27583,5,3,4,1,0,0
33,1,149.0,10,32881,26,4,4,0,0,0
290,0,72.0,6,10217,17,3,2,1,0,0
246,0,104.55,12,13184,26,4,3,1,0,1
75,0,90.0,4,10580,17,4,0,2,3,1
12,0,55.72,2,644,6,4,2,2,3,1
14,1,91.0,2,23947,7,4,2,2,0,0
7,0,58.0,12,30244,9,3,3,0,0,1
4,0,55.0,11,18314,27,3,2,1,0,1
177,0,84.39,8,8447,22,4,5,2,3,0
176,0,108.9,10,20926,7,4,2,0,0,0
5,0,167.0,8,16151,21,4,0,1,0,0
308,1,78.3,11,5181,23,4,3,0,0,0
88,0,112.2,10,24460,5,3,1,1,1,1
4,0,80.0,2,8771,19,2,1,0,0,0
188,1,80.75,7,11060,23,4,5,2,3,1
46,1,96.16,3,30761,13,4,5,3,0,0
9,1,67.0,10,26648,13,2,2,0,0,1
9,2,194.0,6,8370,27,4,3,1,1,1
0,0,75.0,10,7221,3,2,0,1,0,1
235,2,105.3,8,11895,6,4,1,1,0,0
96,0,82.45,8,19314,11,3,2,0,0,1
135,1,79.72,5,35852,9,4,4,1,0,0
101,0,80.0,4,36212,4,3,2,1,0,0
212,1,78.0,5,30690,20,3,3,2,0,1
28,2,75.0,9,27565,27,3,1,0,0,1
13,0,75.0,3,35074,20,3,0,1,0,1
306,3,104.4,8,20872,14,4,1,2,0,1
51,1,83.3,3,13974,21,4,3,1,3,1
177,0,80.75,10,18353,14,3,2,1,0,1
17,0,142.54,11,18116,6,4,2,2,3,1
45,2,151.2,8,32628,30,4,3,0,0,1
244,2,94.5,12,3813,21,4,2,0,0,0
100,1,136.0,5,18331,19,4,3,1,0,1
41,0,76.5,3,8241,15,4,1,0,0,0
99,0,81.0,2,14307,19,2,1,0,0,1
192,0,95.0,6,16257,24,3,2,0,0,1
24,0,157.0,6,12384,22,4,2,0,0,0
29,1,129.0,10,30173,20,4,2,0,0,0
18,2,12.0,9,15575,2,4,3,0,0,1
104,1,91.48,10,173,18,4,4,0,0,1
4,2,133.33,10,29160,28,4,2,1,3,1
34,0,122.4,6,2901,19,4,1,2,0,0
64,2,65.36,1,1911,19,4,2,0,3,1
1,0,85.0,1,9887,23,4,1,0,0,1
138,1,71.67,7,33417,2,4,2,2,0,1
12,1,118.5,8,33851,31,4,2,0,3,1
28,2,104.5,8,11935,30,4,4,0,3,1
164,0,100.0,10,13959,2,3,2,0,0,1
20,0,65.0,6,5784,29,2,1,0,0,1
5,0,80.0,12,29242,18,3,2,2,0,1
9,0,67.5,1,21622,14,4,2,0,3,1
12,1,89.0,1,34756,15,4,2,1,0,1
102,0,101.5,10,35770,16,3,2,0,1,0
48,2,93.5,3,34686,20,4,2,2,0,1
7,2,241.0,5,6573,25,4,2,0,0,1
55,0,104.0,4,27177,6,3,1,0,1,1
90,0,112.88,9,26486,7,3,3,0,0,1
50,1,123.3,9,21184,2,4,2,1,0,0
81,0,59.5,3,13458,18,3,2,2,0,1
275,0,62.8,6,8909,4,3,1,1,0,0
192,0,95.0,6,2405,24,3,2,0,0,1
113,0,100.0,5,25829,31,2,3,0,0,0
74,0,109.0,9,26749,18,3,2,0,1,1
18,1,142.43,8,9289,27,4,5,2,0,0
141,1,72.76,5,17553,23,4,0,1,3,1
29,0,98.0,4,28059,12,4,3,0,3,0
50,1,108.0,10,576,19,4,1,0,3,0
20,0,67.0,12,23044,4,2,0,2,0,1
39,0,101.5,8,2924,14,3,2,0,1,1
2,0,89.0,3,34926,30,4,1,0,3,1
40,0,135.76,4,116,22,4,5,2,0,0
69,0,123.98,9,23775,1,4,6,2,3,0
3,0,119.0,8,32296,17,2,4,1,0,0
270,0,80.0,4,27182,20,3,4,0,0,1
213,0,130.0,6,28403,7,3,3,0,0,0
2,0,99.14,8,32549,19,4,5,2,0,1
143,0,106.0,7,7815,18,2,3,1,0,1
377,1,115.0,10,32472,14,3,2,0,1,0
0,0,15.0,7,2947,10,4,0,1,0,1
14,1,139.0,2,27407,14,4,5,2,0,1
144,0,95.4,6,8404,2,4,3,0,3,1
1,1,74.25,1,14722,4,4,1,1,0,1
4,0,93.0,2,3096,20,4,1,0,0,1
101,0,70.0,4,28685,4,3,2,1,0,0
296,1,117.0,9,8925,21,3,4,0,1,0
0,0,124.0,8,12917,10,4,3,1,0,1
143,0,100.0,8,26298,25,3,3,0,0,1
109,3,131.4,8,13748,11,4,3,1,0,1
92,1,89.25,10,2848,6,4,5,0,0,1
188,0,130.0,6,35439,15,3,2,0,0,0
13,0,96.0,4,18879,26,3,3,0,1,1
224,2,128.7,10,7743,23,4,1,2,0,0
386,1,115.0,10,15319,23,3,0,2,1,0
275,0,90.0,10,16886,5,3,4,1,0,0
161,0,130.0,3,26709,25,3,2,1,1,0
36,0,214.75,8,24526,21,4,0,1,0,0
21,0,196.0,4,28540,11,4,1,1,0,0
81,2,89.25,10,20518,24,4,3,2,0,1
28,1,144.8,5,6778,20,4,2,1,0,1
112,0,100.0,6,31490,2,3,2,0,0,1
237,0,80.75,9,11379,14,4,2,1,0,0
46,1,98.1,9,8194,7,4,1,0,0,1
137,0,133.2,8,8028,23,4,4,0,0,0
85,0,100.0,9,18772,30,3,3,0,1,1
34,1,66.0,2,10484,17,3,4,1,0,1
0,1,141.0,5,32838,12,4,1,0,0,1
30,0,139.28,10,15509,2,4,2,2,0,0
37,0,95.0,10,22122,13,3,3,0,0,1
13,1,151.0,8,4246,6,4,1,0,0,1
113,0,138.55,7,11715,1,4,6,2,0,0
155,0,142.83,10,4164,20,4,3,0,0,0
4,2,109.0,3,4981,11,4,2,1,0,1
43,1,72.0,12,27755,2,3,2,0,0,1
232,2,110.7,12,28067,5,4,2,1,0,1
1,1,89.5,12,21884,18,4,0,1,0,1
142,1,128.7,7,6053,1,4,2,0,0,1
9,1,107.0,11,7921,12,4,3,1,0,1
160,0,106.75,8,22215,8,4,5,2,3,0
177,0,100.0,6,13124,3,3,2,0,0,0
0,1,182.33,5,4200,27,4,2,0,0,0
3,0,75.0,12,13634,4,4,1,0,3,1
20,2,115.6,6,24967,8,4,2,0,0,1
0,0,91.59,8,7685,16,4,2,0,3,1
92,1,187.85,6,30500,1,4,4,0,0,1
276,0,95.0,9,7537,22,4,3,0,0,0
44,1,95.0,4,23435,23,3,1,2,0,1
27,0,85.0,5,2876,4,3,1,0,0,1
61,1,78.9,2,15363,29,4,2,1,0,0
61,0,68.85,7,9831,8,4,8,2,0,0
83,0,75.0,5,3013,1,3,1,2,0,1
172,1,79.03,7,27635,4,4,4,1,0,1
48,1,108.0,10,1992,4,4,3,0,3,0
37,1,69.5,2,34226,12,4,2,1,0,1
92,0,90.95,4,23604,7,3,3,1,0,1
0,0,95.0,6,21974,20,0,3,1,0,1
0,1,0.0,9,34435,28,1,1,0,0,1
60,0,143.1,4,23401,30,4,1,1,0,0
188,0,105.3,8,3757,13,4,1,1,0,0
1,2,136.0,6,623,11,4,1,1,0,1
71,0,120.0,6,8116,14,3,3,0,0,1
28,2,96.3,10,7981,12,4,2,1,0,1
39,0,109.0,8,2290,14,3,2,0,1,1
49,0,71.0,12,27631,30,3,4,0,0,1
10,0,129.0,6,28944,29,4,2,0,3,0
5,1,130.0,8,34334,20,4,1,0,0,1
7,1,90.0,8,12307,17,4,2,1,0,1
1,0,75.0,11,550,29,3,1,0,0,1
14,0,89.0,4,7420,19,4,1,0,3,0
137,1,147.9,7,17842,29,4,7,3,1,1
76,2,129.0,6,35077,17,4,2,2,0,1
20,0,58.0,12,25299,27,3,1,2,0,1
105,0,75.0,4,28848,6,3,1,0,0,0
11,0,94.5,8,28160,15,3,1,2,1,1
23,0,96.0,3,5960,10,4,3,1,0,0
164,0,100.0,10,10520,2,3,2,0,0,0
189,0,72.25,8,4892,8,3,3,1,0,1
105,3,72.25,11,29908,26,4,3,0,0,1
188,0,130.0,6,19679,15,3,2,0,0,0
52,0,145.24,10,17730,23,4,3,2,0,0
145,0,94.5,8,4762,1,4,1,1,3,1
81,0,190.29,7,34364,11,4,5,2,1,1
6,1,169.93,9,34964,12,4,1,1,0,1
10,1,89.0,4,15476,3,4,0,2,3,1
99,0,81.0,2,35807,19,2,1,0,0,1
54,0,140.4,6,11270,4,4,1,0,0,0
176,0,125.1,9,16866,8,3,3,0,0,0
68,0,125.1,9,7937,16,4,1,0,3,0
50,2,127.8,10,32860,4,4,2,0,0,1
1,0,98.0,8,7355,9,4,0,2,0,1
49,0,71.0,12,2444,30,3,4,0,0,1
150,0,80.1,10,22231,30,4,0,2,3,0
135,0,90.0,9,30261,14,3,2,1,0,1
111,0,120.0,10,25944,10,3,0,1,0,0
3,0,138.5,7,31537,11,3,1,2,1,1
122,2,76.5,7,3402,13,4,0,1,0,0
40,1,158.4,10,34583,2,4,0,1,0,1
204,2,93.22,8,28814,15,4,10,5,0,0
119,0,112.5,6,1444,28,4,1,0,0,0
240,0,140.4,9,27303,30,4,2,0,0,0
96,3,108.0,10,27261,3,4,1,1,3,1
131,0,108.0,10,15219,10,4,0,1,3,0
247,1,115.0,6,28335,6,3,1,1,1,0
137,1,79.72,5,35267,22,4,3,2,0,1
18,1,146.0,5,930,10,4,3,0,0,1
105,0,75.0,4,14207,6,3,1,0,0,0
52,0,132.9,7,323,8,4,2,1,0,0
304,0,89.0,11,8969,3,3,3,0,0,0
73,0,145.93,7,35778,2,4,10,4,0,0
142,1,138.55,8,9291,8,4,4,1,0,1
88,0,98.18,4,29193,26,4,4,0,0,0
94,0,117.9,8,8321,23,4,2,0,0,0
57,1,90.67,6,13985,10,3,2,1,0,1
61,0,63.58,3,27379,19,3,2,2,0,1
276,0,116.33,9,10501,22,3,3,0,0,0
117,1,72.25,7,15962,27,3,4,1,0,1
6,1,90.2,2,21780,7,3,2,2,0,1
76,0,80.75,9,20835,17,4,4,2,0,1
102,0,101.5,10,1691,16,4,2,0,1,0
83,2,112.59,9,35507,28,4,1,0,3,1
89,1,87.3,4,12462,8,4,2,1,0,1
166,0,110.0,11,27342,1,3,3,0,0,0
10,0,110.0,5,18616,29,2,5,3,0,1
250,0,95.0,9,14875,26,3,3,1,0,0
9,0,0.0,4,31184,6,4,1,0,1,1
273,0,95.0,5,995,13,4,2,1,0,0
85,2,73.95,3,16431,17,4,3,2,0,1
79,0,88.5,4,19972,17,4,1,2,3,0
30,0,140.0,6,6720,2,3,2,0,0,1
0,0,99.2,9,14100,7,3,1,1,0,1
112,0,100.0,6,17385,2,3,2,0,0,1
5,0,100.0,5,8723,24,2,2,0,0,1
14,1,98.11,12,21093,28,4,5,2,3,1
12,3,184.0,2,30402,24,4,4,0,1,1
95,3,103.7,12,341,21,4,5,2,0,1
80,0,136.0,10,19955,9,3,2,0,1,1
52,1,207.9,9,19121,14,4,3,0,0,0
64,0,93.5,3,33418,18,4,2,2,0,1
11,1,129.75,7,19487,25,4,2,1,0,1
178,0,124.5,8,33083,18,4,3,0,0,0
0,0,161.0,7,10493,25,4,2,1,0,1
224,0,102.25,8,20241,8,3,2,1,1,0
7,2,138.0,9,17822,11,4,2,0,0,1
0,0,163.18,5,14337,18,2,1,0,0,0
260,0,113.4,9,31737,22,4,3,0,3,0
1,1,95.0,11,13477,5,4,2,0,3,1
172,0,80.75,6,35332,27,4,4,1,3,0
219,0,72.25,8,23728,17,3,3,0,0,1
50,0,79.56,7,23103,13,3,4,2,0,0
14,2,184.0,9,19492,22,4,1,0,0,1
0,0,0.0,10,833,1,1,1,0,0,1
156,1,72.25,7,17446,16,3,2,2,0,1
164,0,100.0,10,5081,2,3,2,0,0,1
211,0,100.0,5,9279,20,3,2,0,0,0
40,0,75.0,10,25403,28,3,3,0,0,1
229,0,70.44,10,5584,27,4,3,0,0,0
7,1,156.0,6,5488,16,4,4,2,0,0
60,0,65.0,9,28235,21,3,1,1,0,1
143,0,0.0,4,26384,24,4,0,0,0,1
0,2,0.0,12,12825,12,1,0,1,0,1
193,0,120.0,6,31434,20,3,2,1,0,0
61,1,72.24,10,24361,26,3,1,1,0,1
6,1,126.0,5,4110,9,4,1,1,0,1
87,2,181.16,7,1508,9,4,5,2,0,1
119,0,90.9,4,20579,15,4,2,0,0,1
72,1,53.95,9,24400,19,4,3,1,0,1
5,0,64.0,2,14299,2,3,3,0,0,1
5,0,82.35,11,23111,28,4,1,1,3,1
16,0,76.0,3,32397,8,2,2,0,0,1
104,1,77.03,7,21844,16,4,1,1,0,1
170,1,96.3,6,23742,28,4,3,0,0,1
75,0,80.0,3,22941,17,3,3,1,0,0
92,0,90.0,11,22186,11,3,1,0,0,1
0,0,55.08,2,2323,12,4,1,0,0,1
7,0,95.0,4,35564,4,4,0,1,0,1
12,2,134.33,7,6049,19,4,3,0,0,1
110,0,95.0,6,3398,26,4,1,2,0,0
15,0,60.0,12,14223,27,3,1,0,0,1
18,1,75.0,1,13594,21,4,2,0,3,1
245,0,110.0,7,12637,6,3,4,2,0,0
30,0,149.4,5,3082,11,4,4,0,0,0
79,1,95.2,4,30396,4,4,3,1,0,1
61,1,75.0,11,17050,23,3,3,0,0,1
235,0,106.25,10,4080,27,4,3,1,0,0
3,0,131.0,7,35579,24,4,0,1,0,1
0,1,45.0,10,25888,28,3,1,0,0,1
38,0,112.59,9,474,26,4,1,1,3,0
100,0,38.67,3,14428,25,3,2,1,0,1
19,1,95.0,10,34975,27,2,1,0,0,1
94,0,146.7,6,32312,30,4,2,0,0,0
13,0,156.0,5,8388,6,4,2,0,0,1
84,1,60.98,11,18202,5,4,1,0,3,1
6,0,54.0,2,1457,28,3,0,2,0,1
80,1,80.33,3,290,17,4,3,1,0,1
94,0,96.3,3,8006,9,4,3,0,0,1
71,1,87.13,4,8141,3,4,2,2,0,1
38,3,77.23,11,29401,2,4,4,0,0,1
122,1,105.3,5,631,12,4,2,0,0,1
39,0,101.5,8,35944,14,3,2,0,1,1
2,1,78.2,11,23443,6,3,5,2,0,1
86,1,105.4,4,20305,25,4,5,3,0,0
47,0,90.3,2,12408,18,4,3,0,0,1
1,0,71.7,1,13127,27,4,2,0,0,1
44,0,98.8,12,14185,2,4,2,0,0,0
0,2,135.5,10,15610,1,4,2,0,0,1
0,0,75.0,3,17476,24,3,1,0,0,1
99,0,65.0,10,2142,30,4,2,2,0,0
25,2,89.89,12,33470,10,4,2,2,0,1
75,0,80.0,3,1974,17,4,3,1,0,0
102,0,40.67,1,31515,3,3,1,2,0,1
0,0,101.18,7,23672,23,4,1,0,0,1
17,2,135.0,10,29561,7,4,1,0,3,1
433,0,70.0,9,27625,8,3,3,0,0,0
19,2,174.0,9,36070,15,4,2,0,0,1
42,0,88.2,3,11742,22,4,1,0,3,1
49,0,63.75,3,9370,8,4,4,0,3,0
77,1,115.8,4,18233,18,4,2,1,0,1
0,3,129.0,8,14243,30,4,3,0,3,1
273,0,95.0,5,13849,13,3,2,1,0,0
9,0,82.92,3,26126,30,4,1,0,0,1
77,1,125.1,6,25415,18,4,1,1,0,1
95,1,65.83,4,25898,14,4,1,0,3,1
177,1,80.75,7,252,26,4,4,0,3,0
67,0,75.0,12,10642,2,3,2,1,0,1
33,1,131.88,11,34678,6,4,3,2,0,1
